customer_id,tenure_months,monthly_charges,total_charges,support_calls_6m,late_payments_12m,extra_services,contract,internet_service,payment_method,paperless_billing,senior_citizen,has_dependents,churned
C000048,4,71.89,294.93,3,0,0,Two year,DSL,Bank transfer,False,False,False,1
C000049,20,25.43,505.65,0,0,2,Month-to-month,None,Electronic cheque,False,False,True,0
C000050,11,82.98,943.34,1,1,3,Month-to-month,DSL,Post,True,False,True,0
C000051,11,95.95,1057.02,1,0,1,One year,Fibre optic,Electronic cheque,True,False,False,1
C000052,7,88.7,618.9,1,0,3,One year,Fibre optic,Electronic cheque,False,False,False,1
C000053,6,63.96,389.21,1,2,1,Two year,DSL,Credit card,False,False,False,1
C000054,27,42.73,1155.08,2,0,5,Month-to-month,DSL,Electronic cheque,False,False,False,0
C000055,21,93.47,1976.05,1,0,0,Month-to-month,Fibre optic,Electronic cheque,True,False,False,1
C000056,9,106.19,953.11,4,0,2,One year,Fibre optic,Credit card,False,True,False,1
C000057,16,97.59,1602.89,1,0,3,Month-to-month,Fibre optic,Post,True,False,True,1
C000058,18,107.37,1894.58,1,2,2,Two year,Fibre optic,Bank transfer,True,False,False,0
C000059,42,48.41,2119.42,1,0,2,Month-to-month,DSL,Credit card,True,False,True,1
C000060,6,21.69,131.61,0,0,0,Month-to-month,None,Post,False,False,True,1
C000061,18,75.93,1411.98,2,0,1,One year,DSL,Electronic cheque,False,False,False,0
C000062,27,123.12,3256.82,2,0,4,One year,Fibre optic,Bank transfer,True,False,False,1
C000063,39,16.86,697.05,1,0,4,Two year,None,Credit card,True,False,False,0
C000064,9,15.0,137.52,0,0,0,Two year,None,Electronic cheque,True,True,False,0
C000065,11,64.42,750.07,0,2,1,Month-to-month,DSL,Electronic cheque,False,False,False,1
C000066,24,58.4,1387.64,1,1,5,One year,DSL,Post,True,False,False,1
C000067,4,67.73,262.48,1,2,4,Two year,Fibre optic,Electronic cheque,True,True,False,1
C000068,19,74.33,1407.1,1,1,1,Month-to-month,DSL,Electronic cheque,True,False,False,1
C000069,52,62.07,3307.0,0,0,3,Month-to-month,Fibre optic,Electronic cheque,True,False,True,0
C000070,20,108.27,2248.23,1,1,0,Two year,Fibre optic,Post,True,False,False,1
C000071,1,54.57,53.66,0,1,0,Month-to-month,DSL,Electronic cheque,True,False,False,0
C000072,7,86.26,623.88,2,1,3,Two year,Fibre optic,Bank transfer,True,False,True,1
C000073,9,64.02,582.86,1,0,2,Month-to-month,Fibre optic,Electronic cheque,True,False,False,1
C000074,31,71.16,2270.41,2,2,3,Two year,Fibre optic,Electronic cheque,False,False,True,0
C000075,13,45.03,566.06,1,2,4,One year,Fibre optic,Post,True,False,True,1
C000076,3,65.03,190.71,0,0,3,One year,DSL,Credit card,False,False,True,0
C000077,14,59.48,800.58,2,1,3,One year,Fibre optic,Bank transfer,True,False,False,1
C000078,17,60.85,1034.18,0,0,1,Month-to-month,Fibre optic,Electronic cheque,False,False,False,1
C000079,10,110.44,1137.53,0,0,4,One year,Fibre optic,Post,True,False,True,1
C000080,6,23.68,147.57,0,2,4,Two year,None,Bank transfer,False,False,False,0
C000081,56,15.0,823.34,1,1,2,Two year,None,Bank transfer,False,False,False,0
C000082,27,91.12,2493.24,2,0,0,Two year,Fibre optic,Credit card,True,False,False,0
C000083,29,17.35,509.74,0,1,4,One year,None,Bank transfer,False,False,True,1
C000084,13,62.32,768.08,0,0,5,One year,DSL,Electronic cheque,True,False,True,0
C000085,9,57.22,519.74,2,0,0,One year,Fibre optic,Bank transfer,True,False,True,1
C000086,10,98.2,927.97,0,1,2,One year,Fibre optic,Post,True,False,False,0
C000087,5,92.6,461.58,2,0,1,One year,Fibre optic,Bank transfer,True,True,False,0
C000088,42,106.09,4369.01,1,0,1,Month-to-month,Fibre optic,Bank transfer,False,False,False,0
C000089,14,51.2,729.58,1,0,1,Month-to-month,DSL,Credit card,True,True,True,0
C000090,36,28.32,1041.39,0,0,3,One year,None,Electronic cheque,True,True,False,0
C000091,11,19.91,228.07,0,2,2,Month-to-month,None,Post,True,True,False,1
C000092,21,25.67,540.26,1,0,2,Month-to-month,None,Electronic cheque,False,False,False,0
C000093,17,42.65,732.22,3,2,4,Month-to-month,Fibre optic,Post,False,False,False,0
C000094,4,23.29,90.8,1,1,0,Two year,None,Credit card,True,False,False,1
C000095,45,101.11,4467.26,3,2,1,Two year,Fibre optic,Bank transfer,True,True,False,1
C000096,11,82.68,895.23,2,0,1,One year,Fibre optic,Post,True,False,False,1
C000097,5,94.87,472.52,2,0,1,Two year,Fibre optic,Electronic cheque,False,False,True,0
C000098,24,32.72,833.14,0,0,4,Two year,None,Electronic cheque,False,False,False,0
C000099,15,85.19,1283.09,1,0,1,Month-to-month,Fibre optic,Credit card,True,False,False,0
C000100,19,87.45,1729.03,2,0,4,Month-to-month,Fibre optic,Bank transfer,False,False,True,1
C000101,16,16.1,262.22,2,0,1,Month-to-month,None,Credit card,True,False,True,0
C000102,2,48.61,99.59,0,2,2,Month-to-month,DSL,Credit card,True,False,False,1
C000103,7,98.91,696.33,2,1,5,One year,Fibre optic,Credit card,True,True,True,1
C000104,7,38.65,269.63,1,1,3,Month-to-month,DSL,Credit card,False,True,False,1
C000105,28,70.69,1989.56,2,1,0,Two year,Fibre optic,Electronic cheque,True,False,False,1
C000106,15,62.03,908.55,1,1,2,One year,DSL,Electronic cheque,True,False,False,1
C000107,21,65.53,1351.94,0,2,3,Month-to-month,DSL,Post,False,False,True,1
C000108,12,80.65,967.62,1,2,1,Two year,Fibre optic,Bank transfer,True,False,True,0
C000109,22,61.38,1354.73,3,0,1,Two year,DSL,Post,False,False,False,0
C000110,13,50.1,611.98,1,0,2,One year,DSL,Credit card,False,False,False,1
C000111,13,71.73,904.05,1,2,1,One year,Fibre optic,Electronic cheque,True,False,True,1
C000112,17,49.11,850.04,2,0,2,Two year,DSL,Bank transfer,True,False,True,0
C000113,16,55.93,914.89,1,0,1,One year,DSL,Bank transfer,True,False,False,0
C000114,67,48.71,,1,1,4,Two year,DSL,Electronic cheque,False,False,True,0
C000115,7,46.8,329.34,0,0,1,Month-to-month,DSL,Electronic cheque,True,False,True,0
C000116,4,38.38,169.3,1,1,0,One year,DSL,Credit card,True,False,True,0
C000117,19,16.78,329.73,3,0,5,Month-to-month,None,Post,False,False,False,0
C000118,8,54.74,422.55,1,0,1,Month-to-month,Fibre optic,Post,False,False,True,0
C000119,1,68.6,68.94,1,0,1,Month-to-month,Fibre optic,Credit card,True,False,False,1
C000120,6,83.47,503.93,3,1,3,Month-to-month,Fibre optic,Bank transfer,True,True,False,1
C000121,58,62.26,3589.4,1,0,4,Month-to-month,DSL,Credit card,True,False,True,0
C000122,7,60.44,435.77,1,0,1,Month-to-month,Fibre optic,Electronic cheque,True,False,False,1
C000123,2,16.9,,0,1,4,Month-to-month,None,Credit card,True,True,False,0
C000124,56,47.34,2608.29,0,1,2,Two year,DSL,Electronic cheque,True,False,False,0
C000125,6,64.09,391.88,1,0,0,One year,DSL,Post,True,False,False,0
C000126,72,114.89,8095.13,1,0,2,One year,Fibre optic,Post,True,False,True,0
C000127,11,58.98,646.53,0,1,5,Month-to-month,DSL,Credit card,False,False,False,0
C000128,45,56.04,2643.33,0,3,0,Two year,DSL,Post,True,True,False,0
C000129,12,114.17,1332.05,0,0,2,Month-to-month,Fibre optic,Credit card,True,False,False,1
C000130,21,75.58,1626.71,1,0,1,Month-to-month,Fibre optic,Electronic cheque,True,False,False,1
C000131,13,66.05,825.48,0,0,5,Month-to-month,DSL,Bank transfer,False,False,False,1
C000132,12,30.38,358.01,0,0,3,Two year,None,Credit card,True,False,True,0
C000133,18,62.73,1106.58,1,0,4,Two year,DSL,Electronic cheque,True,False,True,0
C000134,21,86.73,1773.85,0,1,4,One year,DSL,Electronic cheque,True,False,True,0
C000135,17,77.42,1260.55,1,0,3,One year,Fibre optic,Electronic cheque,True,False,False,0
C000136,16,82.12,1263.1,2,0,2,Month-to-month,Fibre optic,Electronic cheque,True,False,False,1
C000137,8,75.96,574.47,0,2,2,One year,Fibre optic,Credit card,True,False,False,1
C000138,14,104.29,1423.81,0,4,0,Month-to-month,Fibre optic,Post,False,False,False,1
C000139,42,62.36,2546.54,0,1,5,Month-to-month,Fibre optic,Electronic cheque,False,False,False,1
C000140,8,16.2,129.41,0,2,4,Two year,None,Post,False,False,False,0
C000141,18,86.61,1621.55,0,0,4,Two year,Fibre optic,Electronic cheque,True,False,False,1
C000142,34,82.76,2854.93,0,0,2,Month-to-month,Fibre optic,Credit card,True,False,False,1
C000143,21,102.43,2171.37,0,0,5,Month-to-month,Fibre optic,Electronic cheque,True,False,True,0
C000144,29,50.78,1441.23,0,2,2,Month-to-month,DSL,Bank transfer,True,False,False,0
C000145,5,95.22,482.62,0,0,0,Month-to-month,Fibre optic,Credit card,True,False,False,1
C000146,18,69.54,,0,0,5,Month-to-month,DSL,Electronic cheque,True,False,True,1
C000147,12,75.84,892.78,2,1,3,One year,Fibre optic,Bank transfer,True,False,False,1
C000148,12,60.74,751.92,2,0,2,Month-to-month,Fibre optic,Post,False,False,True,1
C000149,39,79.02,3048.87,1,1,1,Month-to-month,Fibre optic,Credit card,True,False,True,0
C000150,12,53.92,640.53,1,0,5,Month-to-month,DSL,Post,True,False,True,0
C000151,19,114.49,2198.2,2,0,3,One year,Fibre optic,Post,True,False,False,0
C000152,2,20.82,40.01,0,0,1,Month-to-month,None,Credit card,True,False,False,0
C000153,45,16.67,737.67,0,2,2,Month-to-month,None,Bank transfer,False,False,False,0
C000154,27,65.06,1748.15,2,0,4,One year,Fibre optic,Bank transfer,True,False,False,1
C000155,14,40.86,560.94,0,0,5,One year,DSL,Bank transfer,False,False,False,0
C000156,11,114.49,1277.24,1,0,2,Month-to-month,Fibre optic,Credit card,False,True,False,1
C000157,23,100.66,2258.24,1,1,3,One year,Fibre optic,Bank transfer,False,False,False,1
C000158,33,62.8,2034.33,1,0,5,Month-to-month,DSL,Credit card,False,True,True,0
C000159,46,19.49,920.32,1,0,2,One year,None,Electronic cheque,True,True,True,0
C000160,27,86.95,2344.73,3,0,4,Month-to-month,Fibre optic,Electronic cheque,False,True,False,0
C000161,16,74.61,1218.5,2,0,4,Two year,Fibre optic,Post,True,False,False,0
C000162,30,130.0,3962.66,0,0,1,Two year,Fibre optic,Bank transfer,False,True,False,0
C000163,26,66.19,1810.48,0,2,0,One year,DSL,Post,False,False,False,0
C000164,16,84.22,1327.59,0,0,2,Two year,Fibre optic,Electronic cheque,True,False,True,0
C000165,26,74.2,1854.36,2,1,3,Month-to-month,Fibre optic,Electronic cheque,True,False,True,1
C000166,25,52.17,1239.38,0,0,5,One year,DSL,Credit card,False,True,False,0
C000167,14,109.88,1509.29,0,2,2,Month-to-month,Fibre optic,Electronic cheque,True,False,True,0
C000168,10,87.07,897.74,2,0,3,Month-to-month,Fibre optic,Credit card,False,True,False,1
C000169,24,81.06,1981.7,1,0,2,Month-to-month,Fibre optic,Credit card,False,False,True,0
C000170,6,23.89,142.45,1,0,5,One year,None,Credit card,True,False,False,0
C000171,5,106.76,568.04,1,0,1,One year,Fibre optic,Bank transfer,True,False,False,1
C000172,19,82.41,1504.21,2,0,1,Two year,Fibre optic,Credit card,False,True,True,0
C000173,23,22.01,520.93,2,0,2,One year,None,Electronic cheque,False,False,False,0
C000174,19,42.9,801.23,2,0,4,Two year,Fibre optic,Credit card,False,True,False,0
C000175,20,82.71,1740.69,2,2,1,Two year,Fibre optic,Electronic cheque,True,False,True,0
C000176,23,16.52,375.28,1,1,0,Two year,None,Credit card,True,False,False,0
C000177,40,52.13,2152.14,1,1,3,Month-to-month,Fibre optic,,True,False,True,0
C000178,27,21.15,567.52,2,0,5,Month-to-month,None,Credit card,True,False,False,0
C000179,27,75.37,2188.83,2,1,5,One year,Fibre optic,Post,True,False,False,1
C000180,18,119.12,2158.5,1,0,3,Two year,Fibre optic,Bank transfer,False,False,False,0
C000181,18,41.36,744.51,3,1,3,Month-to-month,DSL,Bank transfer,False,True,True,0
C000182,13,69.16,908.09,1,2,0,Month-to-month,DSL,Credit card,False,False,False,1
C000183,20,109.65,2238.52,3,1,1,Month-to-month,Fibre optic,Post,True,False,False,1
C000184,6,61.65,387.7,0,0,1,Month-to-month,DSL,Electronic cheque,True,False,False,0
C000185,40,74.94,3129.98,1,0,5,Two year,Fibre optic,Credit card,True,False,True,0
C000186,7,58.72,386.55,0,0,2,Month-to-month,DSL,Bank transfer,True,True,False,1
C000187,27,47.7,1277.44,2,0,2,Month-to-month,DSL,Post,True,False,False,0
C000188,36,91.85,3244.29,1,0,3,One year,Fibre optic,Post,False,False,False,1
C000189,27,67.48,1863.54,0,2,4,Month-to-month,Fibre optic,Credit card,True,False,False,0
C000190,62,70.38,4287.5,1,0,4,Month-to-month,DSL,Bank transfer,True,False,False,0
C000191,2,74.78,158.54,0,1,3,One year,Fibre optic,Post,False,False,True,1
C000192,10,37.05,361.09,0,1,3,Month-to-month,DSL,Credit card,True,False,False,0
C000193,36,34.18,1175.83,1,0,3,Two year,DSL,Credit card,True,True,False,0
C000194,5,15.0,75.41,0,0,4,One year,None,Post,False,False,False,0
C000195,8,27.6,225.81,2,0,1,Two year,None,Electronic cheque,False,False,True,0
C000196,22,71.74,1531.22,3,1,4,Month-to-month,Fibre optic,Bank transfer,True,False,False,0
C000197,16,84.75,1407.56,0,1,4,One year,Fibre optic,Credit card,False,True,True,0
C000198,21,28.98,597.07,0,2,3,One year,None,Credit card,True,False,True,0
C000199,17,65.72,1105.5,1,3,3,One year,Fibre optic,Credit card,False,True,False,0
C000200,18,79.11,1428.92,0,1,1,Month-to-month,DSL,Electronic cheque,False,False,False,0
C000201,8,55.24,434.31,0,2,3,Month-to-month,DSL,Bank transfer,True,False,False,0
C000202,17,62.13,1118.29,0,1,3,Month-to-month,DSL,Credit card,False,False,True,0
C000203,11,89.34,944.25,1,0,0,Two year,Fibre optic,Electronic cheque,True,False,True,0
C000204,12,86.24,988.63,3,0,2,Two year,Fibre optic,Electronic cheque,False,False,True,1
C000205,27,87.08,2299.56,0,0,1,Month-to-month,DSL,Bank transfer,True,False,False,1
C000206,4,44.15,170.48,0,1,0,One year,DSL,Post,True,False,True,0
C000207,1,42.38,40.35,1,0,5,One year,DSL,Electronic cheque,True,False,False,0
C000208,26,100.45,2631.59,2,0,2,One year,Fibre optic,Post,False,False,True,1
C000209,17,15.88,260.39,0,0,1,Month-to-month,None,Credit card,True,True,False,0
C000210,36,71.92,,2,1,4,Two year,Fibre optic,Post,True,False,False,0
C000211,8,96.04,756.85,0,0,0,One year,Fibre optic,Bank transfer,False,False,False,1
C000212,14,57.3,835.09,0,0,2,One year,DSL,,False,False,False,0
C000213,16,93.25,1435.37,2,0,3,One year,Fibre optic,Electronic cheque,False,False,True,0
C000214,9,77.2,703.82,1,0,2,One year,Fibre optic,Credit card,False,True,False,0
C000215,7,56.65,,0,0,3,Month-to-month,DSL,Bank transfer,True,False,False,0
C000216,26,74.49,1896.95,2,0,1,Two year,Fibre optic,Electronic cheque,True,False,False,0
C000217,4,17.35,69.18,0,1,1,Month-to-month,None,Credit card,True,False,False,1
C000218,6,77.23,468.94,1,0,3,Two year,DSL,Electronic cheque,True,False,False,0
C000219,14,83.12,1110.46,2,0,0,Two year,Fibre optic,Credit card,True,False,False,1
C000220,29,30.07,876.42,1,2,1,One year,None,Credit card,True,False,False,0
C000221,10,92.84,928.93,2,0,2,One year,Fibre optic,Bank transfer,False,False,True,0
C000222,9,86.03,793.1,1,1,3,Month-to-month,Fibre optic,Post,False,False,False,0
C000223,13,46.18,608.09,0,0,4,Month-to-month,DSL,Credit card,True,False,False,1
C000224,20,34.63,726.74,0,0,0,One year,None,Credit card,False,False,True,0
C000225,11,60.7,689.91,0,0,0,Month-to-month,DSL,Electronic cheque,False,False,False,0
C000226,31,79.58,2450.37,1,1,2,Month-to-month,DSL,Electronic cheque,False,False,False,1
C000227,32,68.17,2273.13,0,1,5,Two year,DSL,Credit card,True,False,False,0
C000228,14,77.04,1085.09,0,0,4,Month-to-month,Fibre optic,Electronic cheque,False,False,False,0
C000229,51,91.76,4829.61,3,1,4,Month-to-month,Fibre optic,Bank transfer,True,False,False,1
C000230,16,22.45,358.47,1,1,0,Month-to-month,None,Electronic cheque,False,False,False,1
C000231,31,97.82,3067.25,0,0,2,One year,Fibre optic,Post,True,False,True,0
C000232,19,15.0,269.92,1,1,0,Month-to-month,None,Post,False,False,False,0
C000233,19,68.58,1311.17,0,1,4,One year,Fibre optic,Bank transfer,True,False,False,0
C000234,3,64.5,196.96,2,0,5,Month-to-month,Fibre optic,Electronic cheque,True,False,False,1
C000235,5,47.46,241.61,1,1,2,Month-to-month,DSL,Post,False,False,False,0
C000236,12,48.8,555.51,0,0,0,Month-to-month,DSL,Electronic cheque,False,False,False,1
C000237,32,111.98,3543.14,1,0,3,Month-to-month,Fibre optic,Post,True,False,True,0
C000238,19,73.42,1361.66,0,1,4,Two year,Fibre optic,Electronic cheque,True,True,False,1
C000239,12,40.66,487.26,1,2,0,Month-to-month,DSL,Post,False,False,True,0
C000240,23,91.58,1970.35,1,0,2,Month-to-month,Fibre optic,Bank transfer,False,False,False,0
C000241,31,64.94,1968.83,3,0,4,Month-to-month,Fibre optic,Bank transfer,True,False,False,1
C000242,15,99.67,1498.44,0,0,1,Month-to-month,Fibre optic,Electronic cheque,True,False,False,0
C000243,18,70.44,1250.17,4,3,2,Month-to-month,DSL,,True,False,False,1
C000244,16,62.33,1047.72,0,0,4,Month-to-month,DSL,Bank transfer,True,False,False,0
C000245,14,53.47,740.24,1,0,0,Two year,DSL,Electronic cheque,True,True,False,1
C000246,8,16.13,128.75,0,1,5,Month-to-month,None,Credit card,True,False,False,0
C000247,7,27.69,183.88,2,1,3,One year,None,Electronic cheque,True,True,True,0
C000248,23,84.12,1876.34,0,0,2,One year,DSL,Electronic cheque,False,False,False,0
C000249,31,58.2,1849.53,0,1,2,Month-to-month,DSL,Electronic cheque,False,False,False,0
C000250,12,130.0,1531.82,0,2,0,One year,Fibre optic,Credit card,False,True,False,1
C000251,12,55.04,658.11,2,0,3,Two year,DSL,Bank transfer,False,False,False,0
C000252,2,25.77,50.69,1,0,5,One year,None,Post,True,False,False,0
C000253,2,75.42,153.92,3,1,2,Two year,Fibre optic,Post,True,True,True,0
C000254,37,22.84,814.54,1,2,5,One year,None,Electronic cheque,True,False,False,0
C000255,8,47.9,376.36,3,0,3,Month-to-month,DSL,Post,False,False,False,1
C000256,64,18.17,1177.59,0,0,3,Two year,None,Bank transfer,True,False,False,0
C000257,9,99.43,885.9,1,0,3,Month-to-month,Fibre optic,Electronic cheque,False,False,True,1
C000258,3,99.66,281.53,2,0,1,One year,Fibre optic,Credit card,False,False,True,1
C000259,16,15.0,239.34,1,0,4,One year,None,Electronic cheque,False,False,False,0
C000260,26,59.08,1457.52,0,0,5,Two year,Fibre optic,Credit card,False,False,False,0
C000261,24,79.85,1912.26,2,1,4,Two year,DSL,Bank transfer,False,False,True,1
C000262,28,43.92,1260.4,2,0,2,Month-to-month,Fibre optic,Electronic cheque,False,True,False,0
C000263,6,19.26,113.42,1,0,4,One year,None,Electronic cheque,True,False,False,0
C000264,36,23.91,886.41,2,1,5,Month-to-month,None,Electronic cheque,False,False,False,0
C000265,38,64.43,2495.94,0,0,4,One year,Fibre optic,Post,False,False,False,0
C000266,39,62.25,2486.46,0,1,1,One year,Fibre optic,Post,False,False,True,0
C000267,18,59.89,1022.85,3,0,0,Month-to-month,DSL,Electronic cheque,False,False,True,0
C000268,11,47.05,512.84,1,0,5,Two year,DSL,Credit card,False,True,False,0
C000269,10,81.17,826.54,1,1,1,Month-to-month,Fibre optic,Post,False,True,False,1
C000270,3,78.39,231.1,1,0,4,Month-to-month,Fibre optic,Electronic cheque,True,False,False,1
C000271,10,69.13,653.7,0,1,0,Two year,DSL,Post,True,False,False,1
C000272,1,74.82,77.0,1,1,2,One year,Fibre optic,Credit card,True,False,False,0
C000273,3,76.2,234.6,0,2,1,One year,Fibre optic,Bank transfer,True,False,False,1
C000274,18,51.13,956.64,0,1,0,Month-to-month,Fibre optic,Electronic cheque,True,True,False,1
C000275,12,52.38,592.04,1,0,4,Month-to-month,DSL,Bank transfer,True,False,True,0
C000276,17,63.11,1064.89,0,0,2,Month-to-month,DSL,Post,True,False,False,0
C000277,25,81.8,2015.64,2,0,4,Month-to-month,Fibre optic,Electronic cheque,True,False,False,1
C000278,20,31.41,608.61,0,0,5,Month-to-month,None,Credit card,False,False,False,0
C000279,19,60.23,1148.6,0,1,1,Month-to-month,DSL,Bank transfer,False,False,False,0
C000280,14,17.06,240.76,0,1,4,One year,None,Credit card,False,False,False,0
C000281,8,93.98,744.47,3,1,3,Month-to-month,Fibre optic,Credit card,True,False,False,1
C000282,5,17.59,92.17,0,0,1,One year,None,Bank transfer,False,False,False,0
C000283,10,89.55,840.72,2,0,2,Two year,Fibre optic,Bank transfer,True,False,False,0
C000284,14,44.98,637.1,1,1,3,Month-to-month,Fibre optic,Electronic cheque,False,False,False,0
C000285,16,92.78,1424.27,1,1,5,One year,Fibre optic,Bank transfer,False,False,False,1
C000286,28,69.17,1940.95,2,0,5,Month-to-month,Fibre optic,Electronic cheque,False,False,True,1
C000287,13,68.46,900.69,1,1,2,Month-to-month,DSL,Electronic cheque,False,False,True,1
C000288,22,115.56,2640.26,1,0,2,One year,Fibre optic,Credit card,True,False,False,0
C000289,4,111.67,442.31,3,1,5,Month-to-month,Fibre optic,Post,False,True,False,1
C000290,18,68.71,1241.51,2,1,1,Month-to-month,Fibre optic,Credit card,True,False,False,1
C000291,17,15.0,,0,2,4,Two year,None,Electronic cheque,True,True,True,0
C000292,36,87.88,3269.6,0,2,5,Month-to-month,Fibre optic,Credit card,True,False,True,0
C000293,12,56.69,691.72,0,1,0,One year,DSL,Bank transfer,True,False,False,0
C000294,12,22.08,265.99,1,0,3,One year,None,Bank transfer,True,True,False,0
C000295,25,67.03,1682.48,3,0,0,Month-to-month,DSL,Credit card,False,False,False,0
C000296,5,27.52,134.77,0,0,3,One year,DSL,Credit card,True,False,False,1
C000297,18,17.02,301.9,0,0,2,Month-to-month,None,Bank transfer,False,False,False,0
C000298,5,15.51,75.79,1,0,5,Month-to-month,None,Credit card,True,False,True,0
C000299,48,106.67,4980.14,2,0,0,Two year,Fibre optic,Bank transfer,True,False,False,0
C000300,11,83.2,919.61,0,0,2,Month-to-month,Fibre optic,Post,True,False,True,0
C000301,4,84.35,351.55,4,0,3,One year,Fibre optic,Credit card,False,False,True,1
C000302,10,29.64,292.09,2,0,4,Month-to-month,None,Electronic cheque,False,True,False,0
C000303,18,32.83,,1,0,3,Month-to-month,None,Post,False,True,True,0
C000304,22,76.1,1664.46,2,0,5,One year,DSL,Post,False,False,False,0
C000305,35,22.16,770.8,0,1,1,One year,None,Electronic cheque,False,False,False,0
C000306,9,100.5,896.33,0,3,3,Month-to-month,Fibre optic,Credit card,False,False,False,0
C000307,26,52.62,1432.3,0,0,2,One year,DSL,,False,False,False,1
C000308,3,26.05,77.9,0,0,3,Month-to-month,DSL,Post,True,False,True,0
C000309,6,67.25,414.32,1,0,3,Month-to-month,DSL,Electronic cheque,False,False,False,1
C000310,4,17.57,70.16,1,0,2,One year,None,Electronic cheque,False,True,False,0
C000311,7,81.26,598.14,1,0,0,One year,Fibre optic,Bank transfer,True,False,False,1
C000312,25,93.01,2415.11,1,0,0,Month-to-month,Fibre optic,Electronic cheque,True,True,False,1
